Player,Score,Kills,Assists,Captures,Returns,,
NikeBeamz,"5,020",19,16,2,2,,
HydroXide,"4,470",22,15,0,2,,
Pandora,"3,680",14,19,0,3,,
Silyn,"3,520",12,10,1,2,,
cym3,"3,165",13,16,0,0,,
Smokin,"2,480",14,4,0,0,,
Ryan,"2,105",3,4,2,0,,
Blitz,"1,390",5,3,0,0,,
Darkness93,"1,095",1,5,0,1,,
,,,,,,,
Player,Score,Kills,Assists,Captures,Returns,,
erInys,"4,230",20,10,0,3,,
TribalChief,"4,165",15,13,2,1,,
IceWinds,"4,125",17,17,0,3,,
Bag,"3,665",11,13,0,6,,
ColonelFatso,"3,135",9,11,0,5,,
tonyd169,"3,105",13,14,0,0,,
pLaybox!,"2,695",12,10,0,0,,
Gigabyte,"2,050",9,7,0,0,,
emma,"1,425",3,7,0,1,,
,,,,,,,
Player,Score,Kills,Assists,Captures,Returns,,
loot,"4,820",21,23,1,0,,
Jive,"4,475",22,16,0,1,,
SplitSecond,"4,420",22,15,0,2,,
Gnome,"4,415",15,17,0,6,,
Mikea(x2),"3,620",16,24,0,0,,
_oahra,"3,545",13,14,1,1,,
Katar Xwokark,"2,925",13,16,0,0,,
NovA,"2,765",5,7,2,1,,
Howsya,"2,645",9,14,0,0,,
,,,,,,,
Player,Score,Kills,Assists,Captures,Returns,,
GGGLYGY,"4,895",27,9,0,1,,
PROJ,"4,415",19,12,1,2,,
BakaToma,"4,350",18,16,0,4,,
bizzy,"4,320",20,24,0,1,,
Lightning McMeme,"3,495",14,23,0,0,,
n3mz,"3,095",7,24,0,3,,
Booleanaire,"3,060",16,10,0,0,,
Torment,"2,070",4,14,0,1,,
DRAGON XIII,"1,690",2,2,1,1,,
,,,,,,,
Player,Score,Kills,Assists,Captures,Returns,,
Lord Buschguy,"6,250",26,11,2,3,,
Prizzo,"5,420",28,19,0,2,,
Slyce,"3,995",19,13,0,1,,
more_horchata,"3,830",13,12,0,3,,
Hosh,"3,560",16,24,0,0,,
Nemesis,"3,200",12,10,1,1,,
kwago,"3,180",8,17,1,2,,
RednecK,"3,140",10,15,1,0,,
APC,"1,855",3,7,0,3,,
,,,,,,,
Player,Score,Kills,Assists,Captures,Returns,,
Tritium Jones,"3,620",16,3,1,2,,Missing player
nomlfir,"3,580",18,17,0,0,,
Kilshot,"2,800",6,10,0,0,,
Mikesters,"2,775",13,10,0,0,,
Nyan,"2,155",7,4,0,2,,
Wriggles,"1,835",7,9,0,0,,
Shinen,970,2,3,0,0,,
bgkillas,965,1,1,0,1,,
,,,,,,,
Player,Score,Kills,Assists,Captures,Returns,,
Shady,"4,810",22,20,0,3,,
nato,"4,680",20,28,0,2,,
anthing,"4,300",22,17,0,1,,
ContigencyPlan,"3,920",11,11,2,1,,
Annaberries,"3,565",16,7,0,2,,
String,"3,400",16,11,0,0,,
Vorpal,"2,565",9,7,1,0,,
DeadManWalking,"2,335",3,5,1,0,,
Hiredgun,"1,365",1,2,1,0,,
,,,,,,,
Player,Score,Kills,Assists,Captures,Returns,,
Rebeltrooper,"4,555",28,8,0,0,,
Dugong,"4,410",20,14,0,3,,
Visis,"4,345",18,17,1,0,,
Nightstar,"4,300",18,16,0,3,,
sajent,"3,655",7,18,0,7,,
wafleking,"3,375",11,16,0,2,,
Clapmatic,"2,740",11,12,0,0,,
zsamot8,"2,470",10,14,0,0,,
LethalScout,"1,080",2,4,0,0,,
