Player,Score,Kills,Assists,Captures,Returns
Beldark,"4,015",17,8,0,5
Bizow,"3,800",18,12,0,1
G W E J,"3,750",20,13,0,0
Didjital,"3,285",15,16,0,1
Dean,"3,040",16,11,0,0
SulliedSoc,"2,200",7,7,0,2
Zao,"1,640",6,8,0,0
Fiftycal,"1,260",3,6,0,0
Mansku,850,0,7,0,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
IceWinds,"5,230",30,19,0,0
ColonelFatso,"4,900",10,17,4,2
Bag,"3,780",10,9,0,8
pLaybox!,"3,770",20,10,0,0
tonyd169,"3,610",9,14,1,3
erInys,"3,415",12,16,0,2
TribalChief,"3,310",12,11,0,4
Gigabyte,"1,665",5,8,0,0
emma,"1,230",4,4,0,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
Gnome,"4,385",14,15,2,3
loot,"3,945",13,15,2,0
Jive,"3,405",10,12,1,1
SplitSecond,"3,200",15,10,0,2
Katar Xwokark,"2,880",13,13,0,0
Howsya,"2,790",12,7,0,1
Mikea(x2),"2,450",11,16,0,0
_oahra,"1,710",7,10,0,0
NovA,845,2,4,0,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
nomlfir,"3,255",15,11,0,1
Wriggles,"2,820",7,15,1,1
Tritium Jones,"2,745",14,9,0,1
Nyan,"2,165",10,7,0,1
Mikesters,"1,710",7,10,0,0
Kilshot,"1,405",5,3,0,0
RoamenCota,"1,265",3,2,0,0
bgkillas,"1,040",1,2,0,2
Shinen,805,2,3,0,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
Slyce,"5,025",20,16,1,4
Hosh,"4,475",21,16,1,1
Prizzo,"4,695",15,21,2,2
Lord Buschguy,"4,020",22,14,0,1
RednecK,"3,670",17,11,1,0
kwago,"2,555",9,8,0,3
more_horchata,"2,510",9,5,0,0
Nemesis,"1,820",6,9,0,1
APC,995,1,4,0,1
,,,,,
Player,Score,Kills,Assists,Captures,Returns
String,"2,865",15,7,0,1
Shady,"2,680",10,8,0,3
ContigencyPlan,"2,300",7,9,1,0
Vorpal,"2,285",11,5,0,1
nato,"2,270",8,14,0,1
DeadManWalking,"2,075",7,6,0,0
anthing,"1,880",8,9,0,0
Hiredgun,550,0,1,0,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
PROJ,"8,595",33,18,0,15
bizzy,"6,815",35,37,0,1
Lightning McMeme,"5,135",17,29,1,1
BakaToma,"5,020",19,23,0,4
GGGLYGY,"4,855",27,14,0,0
Booleanaire,"3,615",14,21,0,1
n3mz,"3,030",8,7,2,0
Torment,"2,350",7,11,0,1
DRAGON XIII,"1,790",0,1,2,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
NikeBeamz,"6,240",29,18,0,5
HydroXide,"5,810",22,25,1,4
cym3,"4,470",14,24,1,0
Pandora,"4,385",21,18,0,1
Silyn,"3,810",14,14,0,3
Smokin,"2,565",11,6,0,1
Ryan,"1,955",1,2,2,0
Blitz,"1,810",4,4,0,2
Darkness93,870,0,3,0,0
