Player,Score,K,A,C,R
Rebeltrooper,"8,640",46,27,2,0
Visis,"5,885",29,17,1,0
Nightstar,"4,705",23,16,0,1
wafleking,"4,585",19,20,0,3
sajent,"4,055",15,18,0,4
Dugong,"3,595",15,14,1,0
Clapmatic,"2,995",12,14,0,1
zsamot8,"1,890",6,12,0,0
LethalScout,"1,690",2,7,1,0
,,,,,
Player,Score,K,A,C,R
Mikesters,"5,360",29,25,0,0
nomlfir,"5,280",28,25,0,0
Tritium Jones,"4,875",27,16,0,1
Nyan,"4,420",16,19,0,5
Wriggles,"4,020",19,14,0,1
Kilshot,"3,645",14,22,0,0
bgkillas,"1,980",4,3,1,1
RoamenCota,"1,715",1,7,0,1
Shinen,"1,485",5,5,0,0
,,,,,
Player,Score,K,A,C,R
Dean,"5,205",29,18,0,0
Didjital,"5,145",18,17,1,5
Bizow,"4,720",24,19,0,0
SulliedSoc,"3,825",15,6,0,3
G W E J,"3,705",17,18,0,1
Beldark,"2,985",9,10,0,4
Zao,"2,885",9,15,1,0
Fiftycal,"1,855",5,3,0,0
Mansku,"1,435",3,5,0,1
,,,,,
Player,Score,K,A,C,R
HydroXide,"6,445",37,14,0,3
NikeBeamz,"4,735",20,22,0,3
cym3,"4,210",14,30,0,0
Smokin,"4,170",19,14,1,0
Silyn,"3,590",15,7,0,2
Pandora,"3,450",14,26,0,0
Ryan,"2,515",3,7,2,1
Blitz,"1,770",2,9,1,0
Darkness93,"1,450",6,1,0,0
,,,,,
Player,Score,K,A,C,R
Jive,"4,575",24,13,0,1
Gnome,"4,405",11,12,1,8
Katar Xwokark,"3,560",16,14,0,2
loot,"3,345",16,16,0,1
SplitSecond,"2,960",14,14,0,1
Mikea(x2),"2,925",15,15,0,0
Howsya,"2,815",9,11,1,0
_oahra,"2,705",10,12,1,0
NovA,"2,185",4,4,2,0
,,,,,
Player,Score,K,A,C,R
IceWinds,"3,390",20,6,0,1
ColonelFatso,"2,405",7,7,0,4
pLaybox!,"1,935",9,9,0,0
TribalChief,"1,775",9,5,0,0
erInys,"1,510",6,4,0,0
tonyd169,"1,395",4,8,0,0
Bag,"1,265",3,6,0,1
emma,"1,110",4,4,0,0
Gigabyte,765,1,1,0,0
,,,,,
Player,Score,K,A,C,R
Lord Buschguy,"4,095",19,23,0,0
Hosh,"4,010",23,13,0,0
Slyce,"3,950",20,14,0,1
Prizzo,"3,315",14,18,0,1
more_horchata,"2,905",9,11,0,1
RednecK,"2,295",8,10,0,0
Nemesis,"1,855",8,6,0,0
kwago,"1,825",2,9,0,3
APC,"1,480",5,6,0,0
,,,,,
Player,Score,K,A,C,R
bizzy,"7,100",41,24,0,2
Booleanaire,"5,125",23,14,2,0
PROJ,"4,775",24,9,0,4
BakaToma,"4,215",16,15,0,5
Lightning McMeme,"3,795",11,29,1,0
GGGLYGY,"3,650",18,14,0,0
Torment,"2,230",3,16,0,3
n3mz,"2,040",5,15,0,1
DRAGON XIII,"1,945",2,2,2,0
