Player,Rd 1 Score,Rd 1 Time,Rd 2 Score,Rd 2 Time,Rd 3 Score,Rd 3 Time,Rd 4 Score,Rd 4 Time,Rd 5 Score,Rd 5 Time,Rd 6 Score,Rd 6 Time,Rd 7 Score,Rd 7 Time,Rd 8 Score,Rd 8 Time,Rd 9 Score,Rd 9 Time,Total Playtime
HydroXide,7705,18:18,4470,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
NikeBeamz,7535,18:18,5020,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
Pandora,6055,18:18,3680,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
Convik/Silyn,4945,18:18,3520,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
cym3,4870,18:18,3165,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
Smokin,2665,18:18,2480,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
Blitz,1880,18:18,1390,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
Darkness93,1470,18:18,1095,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
Ryan,1470,18:18,2105,13:00,,15:00,,16:43,,15:00,,15:00,,BYE,,17:51,,15:00,125:52:00
Dugong,6360,18:18,,14:42,,15:00,,BYE,,13:31,,15:00,,8:21,,12:06,,15:00,111:57:00
Visis,6085,18:18,,14:42,,15:00,,BYE,,13:31,,15:00,,8:21,,12:06,,15:00,111:57:00
Rebeltrooper,5700,18:18,,14:42,,15:00,,BYE,,13:31,,15:00,,8:21,,12:06,,15:00,111:57:00
Nightstar,5375,18:18,,14:42,,15:00,,BYE,,13:31,,15:00,,8:21,,12:06,,15:00,111:57:00
wafleking,4675,18:18,,14:42,,15:00,,BYE,,13:31,,15:00,,8:21,,12:06,,15:00,111:57:00
sajent,3850,18:18,,14:42,,15:00,,BYE,,13:31,,15:00,,8:21,,12:06,,15:00,111:57:00
Clapmatic,2980,18:18,,14:42,,15:00,,BYE,,13:31,,15:00,,8:21,,12:06,,15:00,111:57:00
zsamot8,2660,18:18,,14:42,,15:00,,BYE,,13:31,,15:00,,8:21,,12:06,,15:00,111:57:00
